date_sk,full_date,day_of_month,day_name,week_of_year,month_number,month_name,quarter_number,year_number,is_weekend,is_peak_season
20250918,2025-09-18,18,Kamis,38,9,September,3,2025,False,False
20250919,2025-09-19,19,Jumat,38,9,September,3,2025,False,False
20250920,2025-09-20,20,Sabtu,38,9,September,3,2025,True,False
20250921,2025-09-21,21,Minggu,38,9,September,3,2025,True,False
20250922,2025-09-22,22,Senin,39,9,September,3,2025,False,False
20250923,2025-09-23,23,Selasa,39,9,September,3,2025,False,False
20250924,2025-09-24,24,Rabu,39,9,September,3,2025,False,False
20250925,2025-09-25,25,Kamis,39,9,September,3,2025,False,False
20250926,2025-09-26,26,Jumat,39,9,September,3,2025,False,False
20250927,2025-09-27,27,Sabtu,39,9,September,3,2025,True,False
20250928,2025-09-28,28,Minggu,39,9,September,3,2025,True,False
20250929,2025-09-29,29,Senin,40,9,September,3,2025,False,False
20250930,2025-09-30,30,Selasa,40,9,September,3,2025,False,False
20251001,2025-10-01,1,Rabu,40,10,Oktober,4,2025,False,False
20251002,2025-10-02,2,Kamis,40,10,Oktober,4,2025,False,False
20251003,2025-10-03,3,Jumat,40,10,Oktober,4,2025,False,False
20251004,2025-10-04,4,Sabtu,40,10,Oktober,4,2025,True,False
20251005,2025-10-05,5,Minggu,40,10,Oktober,4,2025,True,False
20251006,2025-10-06,6,Senin,41,10,Oktober,4,2025,False,False
20251007,2025-10-07,7,Selasa,41,10,Oktober,4,2025,False,False
20251008,2025-10-08,8,Rabu,41,10,Oktober,4,2025,False,False
20251009,2025-10-09,9,Kamis,41,10,Oktober,4,2025,False,False
20251010,2025-10-10,10,Jumat,41,10,Oktober,4,2025,False,False
20251011,2025-10-11,11,Sabtu,41,10,Oktober,4,2025,True,False
20251012,2025-10-12,12,Minggu,41,10,Oktober,4,2025,True,False
20251013,2025-10-13,13,Senin,42,10,Oktober,4,2025,False,False
20251014,2025-10-14,14,Selasa,42,10,Oktober,4,2025,False,False
20251015,2025-10-15,15,Rabu,42,10,Oktober,4,2025,False,False
20251016,2025-10-16,16,Kamis,42,10,Oktober,4,2025,False,False
20251017,2025-10-17,17,Jumat,42,10,Oktober,4,2025,False,False
20251018,2025-10-18,18,Sabtu,42,10,Oktober,4,2025,True,False
20251019,2025-10-19,19,Minggu,42,10,Oktober,4,2025,True,False
20251020,2025-10-20,20,Senin,43,10,Oktober,4,2025,False,False
20251021,2025-10-21,21,Selasa,43,10,Oktober,4,2025,False,False
20251022,2025-10-22,22,Rabu,43,10,Oktober,4,2025,False,False
20251023,2025-10-23,23,Kamis,43,10,Oktober,4,2025,False,False
20251024,2025-10-24,24,Jumat,43,10,Oktober,4,2025,False,False
20251025,2025-10-25,25,Sabtu,43,10,Oktober,4,2025,True,False
20251026,2025-10-26,26,Minggu,43,10,Oktober,4,2025,True,False
20251027,2025-10-27,27,Senin,44,10,Oktober,4,2025,False,False
20251028,2025-10-28,28,Selasa,44,10,Oktober,4,2025,False,False
20251029,2025-10-29,29,Rabu,44,10,Oktober,4,2025,False,False
20251030,2025-10-30,30,Kamis,44,10,Oktober,4,2025,False,False
20251031,2025-10-31,31,Jumat,44,10,Oktober,4,2025,False,False
20251101,2025-11-01,1,Sabtu,44,11,November,4,2025,True,False
20251102,2025-11-02,2,Minggu,44,11,November,4,2025,True,False
